NODE,PARENT,PATH
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
TSRV_READ_ROLE,TSRV_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> TSRV_FULL_ROLE ==> TSRV_READ_ROLE
SFINFDBMI,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFDBMI
SFINFELT,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFINFELT
SFPBIRPT,SFMIGRATION, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFMIGRATION ==> SFPBIRPT
TRANS_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> TRANS_FULL_ROLE
IT_DEVELOPER,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> IT_DEVELOPER
STAGE_FULL_ROLE,SFINFELT, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFELT ==> STAGE_FULL_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
SFINFDBMI,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFDBMI
SFINFELT,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFINFELT
SFPBIRPT,SFMIGRATION, ==> ACCOUNTADMIN ==> SYSADMIN ==> SFMIGRATION ==> SFPBIRPT
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
TRANS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> TRANS_FULL_ROLE
STAGE_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> STAGE_FULL_ROLE
